MC161_DMSO_10uM,,"MC71"/5:MC71,,"Focused Graph"-0.002:MC61_DMSO_10uM,,"Focused Graph"-0.0025:MC169_DMSO_10uM1,,"MC67_DMSO_10uM"+0.001:MC67_DMSO_10uM,,"MC147_DMSO_10uM"+0.0017:MC147_DMSO_10uM,,"MC152_DMSO_10uM"-0.0011:MC152_DMSO_10uM,,"MC155_DMSO_10uM"-0.0015:MC155_DMSO_10uM,,MC71_DMSO_10uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
780.9973755,-0.0002286164672,681,0.0002150574292,780.9973755,-0.0005884247366,780.9973755,0.0009933973197,780.9973755,0.0005803324748,780.9973755,0.0004524332471,780.9973755,0.0002769584535,780.9973755,-0.001513564028,781.0120239,-0.0005128087942,
779.9856567,0.0001387709635,679.987915,0.0002165832993,779.9856567,-0.001373236999,779.9856567,-8.40856228E-005,779.9856567,-0.001130822464,779.9856567,-0.0001437177416,779.9856567,-0.00144357793,779.9856567,-0.001519155223,780.0004883,5.180091102E-005,
779.008606,-0.00111038168,679.0115967,0.0002539498382,779.008606,-0.0008455059724,779.008606,0.00025819242,779.008606,0.0003971203114,779.008606,0.0002817481291,779.008606,-0.0002722325735,779.008606,-0.001262742095,778.9884644,-0.0005904198042,
777.9961548,0.001403368893,677.9988403,0.0002553413797,777.9961548,-6.122060586E-005,777.9961548,0.001501373015,777.9961548,0.0008582198643,777.9961548,0.0003371734638,777.9961548,0.0006439918652,777.9961548,-0.000583758112,778.0109863,0.0007794006378,
776.9832764,0.001337696332,676.9857178,0.0002101477876,776.9832764,-0.001137374202,776.9832764,0.0008084492292,776.9832764,0.0003970169346,776.9832764,0.0002007903531,776.9832764,8.753594011E-005,776.9832764,-0.0008486349834,776.99823,0.0003027383354,
776.0050659,-0.0006078946171,676.0085449,0.0002540796413,776.0050659,-0.0003852639347,776.0050659,2.864049748E-005,776.0050659,0.0001022195793,776.0050659,0.0009211170836,776.0050659,0.0003526882501,776.0050659,-0.001082543517,775.9850464,0.0003578655887,
774.9914551,-0.0004088058195,674.994873,0.0002275559091,774.9914551,-0.0006748710293,774.9914551,-0.0002228834201,774.9914551,0.0005240626633,774.9914551,3.546453081E-005,774.9914551,-7.829663809E-005,774.9914551,-0.002346422523,775.0064697,0.0007684054435,
774.0125732,-0.0001926524128,674.0169678,0.0002426987339,774.0125732,-0.001488088164,774.0125732,-0.001210779068,774.0125732,0.000551420846,774.0125732,-0.001438951236,774.0125732,-0.000486016972,774.0125732,-0.001527127693,773.9924927,-0.0001295140682,
772.9981689,0.0008296865853,673.0026855,0.0002592981036,772.9981689,-0.001148112118,772.9981689,0.001390405931,772.9981689,0.0003458885476,772.9981689,0.001052763779,772.9981689,0.000782801304,772.9981689,-0.0006368812756,773.0131226,0.0008920399705,
771.9833984,0.0009040499572,671.9879761,0.0002235694847,771.9833984,3.528269008E-005,771.9833984,0.0006290809251,771.9833984,-7.165002171E-005,771.9833984,0.0001034958987,771.9833984,0.0004502786323,771.9833984,-0.001870477223,771.9984741,0.0001275847899,
771.0032959,3.344595825E-005,671.0092773,0.0002595213882,771.0032959,-0.001003334764,771.0032959,-0.0002076081,771.0032959,0.0005463007838,771.0032959,0.0008330130368,771.0032959,0.0003850514768,771.0032959,-0.001360659371,770.9833374,-0.0004292360391,
769.987793,0.0005646033096,669.9940186,0.0002943764848,769.987793,0.0001429934055,769.987793,0.00153933512,769.987793,0.0009476617561,769.987793,0.0009336235817,769.987793,0.001402968541,769.987793,-0.0013401506,770.0028687,0.0005922345445,
769.006958,-0.0001457135513,669.0146484,0.0002338525665,769.006958,-0.0009239085484,769.006958,0.0003234548494,769.006958,-0.0003212786978,769.006958,0.0003656112822,769.006958,0.0006476824638,769.006958,-0.001555081806,768.9869995,0.0003566220403,
767.9906616,0.001377555775,667.9987793,0.0002327831753,767.9906616,-0.0003568122629,767.9906616,2.687005326E-005,767.9906616,0.0008498356328,767.9906616,0.0006119789323,767.9906616,-0.0002240939066,767.9906616,-0.0007581998361,768.0057983,0.0005334230955,
767.0090942,-0.0001999489614,666.9825439,0.0002039774263,767.0090942,-0.000729446183,767.0090942,0.0002433697227,767.0090942,0.0004908627598,767.0090942,0.0001957342029,767.0090942,0.0008241927717,767.0090942,-0.0007851663977,766.9891357,0.0007536764024,
765.9920044,9.552027223E-006,666.0023193,0.0002615569392,765.9920044,-0.0005467404844,765.9920044,-0.0004666156601,765.9920044,9.007850895E-005,765.9920044,0.0003112661652,765.9920044,-0.0002938362304,765.9920044,-0.001509940135,766.0072021,0.0002354190219,
765.0097046,0.0005627889186,664.9854736,0.0002934050863,765.0097046,-0.0005240916507,765.0097046,0.000255066203,765.0097046,4.131079186E-005,765.0097046,0.0004203246208,765.0097046,0.0003798046382,765.0097046,-0.001149932388,764.9898682,0.0005814254982,
763.9919434,0.001226810506,664.0046997,0.0003552181588,763.9919434,-0.0005142473383,763.9919434,9.967549704E-005,763.9919434,0.0001083161333,763.9919434,0.0002868052106,763.9919434,3.136903979E-005,763.9919434,-0.000971864094,764.0070801,0.0007819420425,
763.0088501,0.0001423443755,662.9871826,0.0002882053377,763.0088501,-0.0001582744299,763.0088501,-0.0005751311546,763.0088501,0.0003762339475,763.0088501,0.0001234585652,763.0088501,0.0005471634213,763.0088501,4.045886453E-005,762.9889526,0.00103420997,
761.9902954,0.0007863506326,662.0057983,0.0002878521045,761.9902954,0.0001889886335,761.9902954,0.0004522628151,761.9902954,0.0009304241394,761.9902954,0.001517128316,761.9902954,0.0002838141518,761.9902954,-0.0008558679838,762.0055542,0.001006239327,
761.0065308,1.692975275E-005,660.9877319,0.0002642936015,761.0065308,-0.0007978242356,761.0065308,0.0005402327515,761.0065308,0.0006956359721,761.0065308,0.00012139522,761.0065308,-3.68055189E-005,761.0065308,-0.001722614048,760.9866333,0.0005781076616,
759.9871826,-0.0002471406769,660.0057373,0.0002837486682,759.9871826,-0.001356153283,759.9871826,-0.0001797366422,759.9871826,-0.000853409525,759.9871826,-8.303602226E-005,759.9871826,-0.0005905501894,759.9871826,-0.001397246495,760.0024414,0.000785728218,
759.0026245,0.0002363255189,658.9870605,0.0002472882916,759.0026245,0.0001503815874,759.0026245,0.0004937823396,759.0026245,0.0009651071741,759.0026245,3.824953455E-005,759.0026245,0.0002119649434,759.0026245,-0.0008282057825,758.9827881,0.0001915207249,
757.9825439,-4.566044663E-005,658.0044556,0.0002536694228,757.9825439,-0.000743647106,757.9825439,0.000153793022,757.9825439,0.0002550199279,757.9825439,-0.0004470505519,757.9825439,-0.0009261409286,757.9825439,-0.0009848485934,757.9979248,-0.0004262362199,
756.9973145,0.00183234131,656.9851685,0.000299394771,756.9973145,-4.088669084E-005,756.9973145,0.0005582198501,756.9973145,0.0007840612088,756.9973145,0.0007194600767,756.9973145,0.0006425624015,756.9973145,0.0008101917338,757.0126343,0.0009767656447,
756.0116577,-5.508184768E-005,656.0019531,0.0002555386745,756.0116577,-0.0009707200807,756.0116577,-0.0006219303468,756.0116577,-0.0005680815084,756.0116577,-0.0003511674004,756.0116577,-0.000493949221,756.0116577,-0.001453583944,755.9918823,0.0002940605918,
754.9904785,0.0002820156224,654.9820557,0.0002710810804,754.9904785,0.000231892569,754.9904785,0.0007618134841,754.9904785,0.0006966706715,754.9904785,0.0005806847475,754.9904785,-4.22548037E-005,754.9904785,-4.972727038E-005,755.0059204,0.0002194908157,
754.0041504,0.0004823680501,653.9983521,0.0002760876378,754.0041504,-9.860948194E-005,754.0041504,-7.312675007E-005,754.0041504,-0.0003383111907,754.0041504,5.542417057E-005,754.0041504,0.001029960811,754.0041504,-0.0004649336915,753.984375,-8.23095761E-005,
753.0174561,0.0008893422782,653.0142212,0.0002645999775,753.0174561,-0.0008970232448,753.0174561,0.0002640800085,753.0174561,2.157792915E-005,753.0174561,0.0008756934549,753.0174561,0.0008309790865,753.0174561,-0.0007924263482,752.9977417,0.001658544759,
751.9951782,0.001091921469,651.9934692,0.0003603127552,751.9951782,-0.0001513854368,751.9951782,-0.0005167289637,751.9951782,3.44729051E-006,751.9951782,0.0004665782908,751.9951782,2.257083543E-005,751.9951782,-0.001100732596,752.0106812,0.00106233824,
751.0076904,2.586085247E-005,651.0088501,0.0003292819601,751.0076904,-0.0006150433328,751.0076904,-0.0003682181705,751.0076904,-0.000367729459,751.0076904,0.0003090470564,751.0076904,6.960018072E-005,751.0076904,-0.001124258037,750.9879761,0.0001782873733,
749.9846191,-0.0006248517311,649.9874268,0.0003831172944,749.9846191,-0.00143612246,749.9846191,-0.0009170910344,749.9846191,-0.0004645374138,749.9846191,-0.0001631011255,749.9846191,0.0005269740941,749.9846191,-0.00142409571,750.0002441,0.0009774401551,
748.996521,0.0004181042605,649.0021973,0.0002867145522,748.996521,-0.0002654686105,748.996521,0.000242510112,748.996521,0.0003612419241,748.996521,0.0009480427252,748.996521,0.0009432933293,748.996521,-0.0003034309484,749.012085,0.0004083359672,
748.0079956,0.001375686028,648.0166626,0.0003389330814,748.0079956,9.37518198E-005,748.0079956,0.00107933674,748.0079956,0.0002434947528,748.0079956,0.001146910363,748.0079956,0.00104075647,748.0079956,-0.0001735467231,747.9882813,0.0007913038135,
746.9838257,0.001002814388,646.9943848,0.0003589767148,746.9838257,0.0002184407786,746.9838257,-1.8510269E-005,746.9838257,0.0002210137318,746.9838257,0.0004286355106,746.9838257,0.0001799003221,746.9838257,-0.0009114981513,746.9994507,0.001725721173,
745.9946289,0.0005342265358,646.0083618,0.000358389254,745.9946289,-0.0007802504115,745.9946289,0.0002952644136,745.9946289,0.0004349664669,745.9946289,0.0001717957202,745.9946289,0.0006845123135,745.9946289,-0.0003027301282,746.0102539,0.0003224258544,
745.0050659,0.0001690423815,644.9854126,0.0004001856432,745.0050659,-0.0009232857265,745.0050659,0.0003528455272,745.0050659,0.000501618837,745.0050659,0.0001873762812,745.0050659,0.0003790513147,745.0050659,-0.0007655639201,744.9854126,0.0006984210922,
744.0151367,0.0003742911504,643.9987183,0.0003599436604,744.0151367,-0.0003945135977,744.0151367,-8.059758693E-005,744.0151367,0.0002041666303,744.0151367,0.0006999348989,744.0151367,0.0003448704956,744.0151367,-0.0001935394248,743.9954834,0.0003757679078,
742.9894409,-0.000141159122,643.0117798,0.0003569024557,742.9894409,-0.0009481452871,742.9894409,7.287971675E-005,742.9894409,7.339147851E-005,742.9894409,0.0005967963953,742.9894409,0.0005641834578,742.9894409,-0.0007173059275,743.005188,0.0003272701579,
741.9988403,0.0003398344852,641.9879761,0.0003920774907,741.9988403,-0.0008170844521,741.9988403,0.0001860894263,741.9988403,0.0004430841655,741.9988403,0.0005925619043,741.9988403,0.001228539273,741.9988403,-0.0004846276715,742.0145874,0.0005373885506,
